title,composer,performer
Gymnopedie,Satie,Varsano
Gymnopedie,Satie,Buniatishvili
Gymnopedie,Satie,Roge
Nocturne,Chopin,Pletnev
Nocturne,Chopin,Lisitsa
Nocturne,Chopin,Poon
Waltz 64 2,Chopin,Rubinstein
Waltz 64 2,Chopin,Kissin
Waltz 64 2,Chopin,Poon
Waltz 69 1,Chopin,Rubinstein
Waltz 69 1,Chopin,Lisitsa
Waltz 69 1,Chopin,Barton
Impromptu No 3,Schubert,Buniatishvili
Impromptu No 3,Schubert,Horowitz
Waltz A Minor,Chopin,Sokolov
Waltz A Minor,Chopin,Barton
Waltz A Minor,Chopin,Kissin
Fur Elise,Beethoven,Ott
Fur Elise,Beethoven,Lisitsa
Fur Elise,Beethoven,Lang
Fur Elise,Beethoven,Ashkenazy
Traumerei,Schumann,Lang
Traumerei,Schumann,Horowitz
Traumerei,Schumann,Poon
Sonata,Mozart,Poon
Sonata,Mozart,Lang
Sonata,Mozart,Barenboim
Minuet in F,Bach,Cubus
Minuet in F,Bach,Taylor
